id,date,user,pc,to,cc,bcc,from,activity,size,attachments,content

{W3A0-J8NW76TI-3799FCWQ},12/30/2010 08:40:43,LBE0376,PC-5855,Sawyer.C.Hopper@raytheon.com,,,Laurel.Bertha.Ellis@dtaa.com,Send,37242,,Job Hunting,industry visual industry platform equivalent passion job management resume self on-line initiative concepts dynamic sales management dynamic develop customer degree strong analyze analyze people contribute self report skills permanent compensation experience on-time analyze responsibilities experience compensation degree experience degree platform team resume experience passion

{Z2W4-X3WL88RT-8965HWTA},12/30/2010 13:18:34,LBE0376,PC-5855,Sawyer.C.Hopper@raytheon.com,,,Laurel.Bertha.Ellis@dtaa.com,Send,30263,,Job Hunting,multitask skills expert multitask management equivalent years report multiple contribute benefits develop growth report customer passion contribute report customer

{K9T6-R0GF99NK-6738TEYS},01/11/2011 10:21:05,LBE0376,PC-5855,Sawyer.C.Hopper@raytheon.com,,,Laurel.Bertha.Ellis@dtaa.com,Send,17957,,Job Hunting,dynamic analyze sales permanent sales growth team responsibilities start degree call initiative resume job platform strong part-time degree team benefits responsibilities report skills management multitask dynamic years responsibilities required multitask multiple passion multitask customer responsibilities concepts sales equivalent responsibilities sales self benefits guidance job job engineer start people benefits relocation benefits customer degree required contribute contribute sales customer initiative team dynamic

{R7I4-D1JU74MQ-5665YNKG},01/11/2011 13:34:33,LBE0376,PC-5855,Sawyer.C.Hopper@raytheon.com,,,Laurel.Bertha.Ellis@dtaa.com,Send,39723,,Job Hunting,people people customer concepts multiple strong technologies multiple people contribute technologies management required resume call passion dynamic analyze guidance develop compensation responsibilities multitask guidance resume years skills opening customer team industry platform team develop resume required customer on-time call starter on-time growth benefits responsibilities

{L8P2-G3XJ90PK-0920GTCY},01/11/2011 14:29:36,LBE0376,PC-5855,Sawyer.C.Hopper@raytheon.com,,,Laurel.Bertha.Ellis@dtaa.com,Send,18431,,Job Hunting,industry on-time people contribute strong develop visual responsibilities multitask passion skills multitask multiple expert guidance customer starter initiative permanent management permanent on-line equivalent starter starter opening management management job experience report opening platform interface permanent resume skills process team engineer self develop growth customer interface equivalent dynamic process benefits industry report equivalent job required industry

{C0F7-P7OK51OL-7927MFSG},01/12/2011 10:43:59,LBE0376,PC-5855,Sawyer.C.Hopper@raytheon.com,,,Laurel.Bertha.Ellis@dtaa.com,Send,20253,,Job Hunting,interface part-time on-time skills team passion skills skills platform hours benefits benefits contribute develop team contribute expert passion people contribute benefits platform dynamic strong team people contribute degree opening expert opening growth concepts multiple years experience platform platform start degree degree degree platform guidance develop opening salary guidance team salary hours

